segment,buy_races,total_points,stake_yen,payback_yen,profit_yen,roi_pct,hit_rate_pct,manshu_hit_rate_pct
2025-01,6,19,1900,0,-1900,0.0,0.0,0.0
2025-02,5,20,2000,13340,11340,667.0,20.0,20.0
2025-03,4,9,900,0,-900,0.0,0.0,0.0
2025-04,7,19,1900,0,-1900,0.0,0.0,0.0
2025-05,2,6,600,0,-600,0.0,0.0,0.0
2025-06,1,6,600,0,-600,0.0,0.0,0.0
2025-07,5,15,1500,70890,69390,4726.0,40.0,40.0
2025-08,3,9,900,0,-900,0.0,0.0,0.0
2025-09,2,6,600,0,-600,0.0,0.0,0.0
2025-10,5,20,2000,9450,7450,472.5,20.0,0.0
2025-11,7,22,2200,0,-2200,0.0,0.0,0.0
2025-12,4,14,1400,0,-1400,0.0,0.0,0.0
2026-01,8,27,2700,0,-2700,0.0,0.0,0.0
2026-02,4,9,900,0,-900,0.0,0.0,0.0
2026-03,5,13,1300,0,-1300,0.0,0.0,0.0
2026-04,10,33,3300,21300,18000,645.45,10.0,10.0
2026-05,6,21,2100,1000,-1100,47.62,16.67,0.0
2026-06,5,17,1700,0,-1700,0.0,0.0,0.0
